timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1649178590302,2,http://localhost:8085/api/v1/adverts/getAdverts?offset=0&limit=10&type=COMPANY,200,,Thread Group 1-53,text,true,,2205,402,55,55,http://localhost:8085/api/v1/adverts/getAdverts?offset=0&limit=10&type=COMPANY,2,0,0
1649178590276,69,http://localhost:8085/management/api/v1/users/addUser,200,,Thread Group 1-1,text,true,,740,550,59,59,http://localhost:8085/management/api/v1/users/addUser,69,0,0
1649178589734,218,Test,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-1,,true,,3819004,7601,59,59,null,142,393,15
1649178590269,98,http://localhost:3000/,200,OK,Thread Group 1-54,text,true,,3810386,2509,61,61,http://localhost:3000/,15,0,0
1649178590269,15,http://localhost:3000/-0,200,OK,Thread Group 1-54,text,true,,2066,485,61,61,http://localhost:3000/,15,0,0
1649178590285,82,http://localhost:3000/-1,200,OK,Thread Group 1-54,bin,true,,5134,496,61,61,http://localhost:3000/favicon.ico,82,0,0
1649178590285,53,http://localhost:3000/-2,200,OK,Thread Group 1-54,text,true,,36158,504,61,61,http://localhost:3000/static/js/bundle.js,53,0,0
1649178590285,7,http://localhost:3000/-3,200,OK,Thread Group 1-54,text,true,,3219284,516,61,61,http://localhost:3000/static/js/vendors~main.chunk.js,3,0,0
1649178590285,54,http://localhost:3000/-4,200,OK,Thread Group 1-54,text,true,,547744,508,61,61,http://localhost:3000/static/js/main.chunk.js,53,0,0
1649178590281,89,http://localhost:8085/management/api/v1/users/addUser,200,,Thread Group 1-10,text,true,,732,542,61,61,http://localhost:8085/management/api/v1/users/addUser,89,0,0
1649178589820,215,Test,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-10,,true,,3818996,7593,61,61,null,145,336,2
1649178590282,84,http://localhost:3000/,200,OK,Thread Group 1-56,text,true,,3810386,2509,61,61,http://localhost:3000/,4,0,1
1649178590282,4,http://localhost:3000/-0,200,OK,Thread Group 1-56,text,true,,2066,485,61,61,http://localhost:3000/,4,0,1
1649178590286,80,http://localhost:3000/-1,200,OK,Thread Group 1-56,bin,true,,5134,496,61,61,http://localhost:3000/favicon.ico,80,0,0
1649178590286,57,http://localhost:3000/-2,200,OK,Thread Group 1-56,text,true,,36158,504,61,61,http://localhost:3000/static/js/bundle.js,57,0,0
1649178590286,57,http://localhost:3000/-3,200,OK,Thread Group 1-56,text,true,,3219284,516,61,61,http://localhost:3000/static/js/vendors~main.chunk.js,55,0,0
1649178590286,57,http://localhost:3000/-4,200,OK,Thread Group 1-56,text,true,,547744,508,61,61,http://localhost:3000/static/js/main.chunk.js,57,0,0
1649178590318,56,http://localhost:3000/,200,OK,Thread Group 1-60,text,true,,3810386,2509,60,60,http://localhost:3000/,26,0,0
1649178590318,26,http://localhost:3000/-0,200,OK,Thread Group 1-60,text,true,,2066,485,60,60,http://localhost:3000/,26,0,0
1649178590345,29,http://localhost:3000/-1,200,OK,Thread Group 1-60,bin,true,,5134,496,60,60,http://localhost:3000/favicon.ico,29,0,0
1649178590345,19,http://localhost:3000/-2,200,OK,Thread Group 1-60,text,true,,36158,504,60,60,http://localhost:3000/static/js/bundle.js,18,0,0
1649178590345,27,http://localhost:3000/-3,200,OK,Thread Group 1-60,text,true,,3219284,516,60,60,http://localhost:3000/static/js/vendors~main.chunk.js,18,0,0
1649178590345,20,http://localhost:3000/-4,200,OK,Thread Group 1-60,text,true,,547744,508,60,60,http://localhost:3000/static/js/main.chunk.js,18,0,0
1649178590269,106,http://localhost:3000/,200,OK,Thread Group 1-55,text,true,,3810386,2509,60,60,http://localhost:3000/,15,0,0
1649178590269,15,http://localhost:3000/-0,200,OK,Thread Group 1-55,text,true,,2066,485,60,60,http://localhost:3000/,15,0,0
1649178590285,90,http://localhost:3000/-1,200,OK,Thread Group 1-55,bin,true,,5134,496,60,60,http://localhost:3000/favicon.ico,82,0,0
1649178590285,54,http://localhost:3000/-2,200,OK,Thread Group 1-55,text,true,,36158,504,60,60,http://localhost:3000/static/js/bundle.js,54,0,0
1649178590285,54,http://localhost:3000/-3,200,OK,Thread Group 1-55,text,true,,3219284,516,60,60,http://localhost:3000/static/js/vendors~main.chunk.js,52,0,0
1649178590285,2,http://localhost:3000/-4,200,OK,Thread Group 1-55,text,true,,547744,508,60,60,http://localhost:3000/static/js/main.chunk.js,1,0,0
1649178590370,5,http://localhost:8085/api/v1/companies/list,200,,Thread Group 1-54,text,true,,807,344,60,60,http://localhost:8085/api/v1/companies/list,5,0,0
1649178590324,51,http://localhost:3000/login,200,OK,Thread Group 1-8,text,true,,2849,2763,60,60,http://localhost:3000/login,28,0,0
1649178590324,28,http://localhost:3000/login-0,200,OK,Thread Group 1-8,text,true,,2066,490,60,60,http://localhost:3000/login,28,0,0
1649178590353,22,http://localhost:3000/login-1,304,Not Modified,Thread Group 1-8,,true,,243,583,60,60,http://localhost:3000/favicon.ico,0,0,0
1649178590353,18,http://localhost:3000/login-2,304,Not Modified,Thread Group 1-8,,true,,179,557,60,60,http://localhost:3000/static/js/bundle.js,0,0,0
1649178590353,20,http://localhost:3000/login-3,304,Not Modified,Thread Group 1-8,,true,,181,571,60,60,http://localhost:3000/static/js/vendors~main.chunk.js,0,0,0
1649178590353,21,http://localhost:3000/login-4,304,Not Modified,Thread Group 1-8,,true,,180,562,60,60,http://localhost:3000/static/js/main.chunk.js,0,0,0
1649178590373,3,http://localhost:8085/api/v1/companies/list,200,,Thread Group 1-56,text,true,,807,344,60,60,http://localhost:8085/api/v1/companies/list,3,0,0
1649178590375,3,http://localhost:8085/api/v1/companies/list,200,,Thread Group 1-8,text,true,,807,344,61,61,http://localhost:8085/api/v1/companies/list,3,0,0
1649178590375,3,http://localhost:8085/api/v1/companies/list,200,,Thread Group 1-60,text,true,,807,344,61,61,http://localhost:8085/api/v1/companies/list,3,0,0
1649178590375,3,http://localhost:8085/api/v1/companies/list,200,,Thread Group 1-55,text,true,,807,344,61,61,http://localhost:8085/api/v1/companies/list,3,0,0
1649178590377,2,http://localhost:8085/api/v1/adverts/categories,200,,Thread Group 1-56,text,true,,602,348,61,61,http://localhost:8085/api/v1/adverts/categories,2,0,0
1649178590375,3,http://localhost:8085/api/v1/adverts/categories,200,,Thread Group 1-54,text,true,,602,348,61,61,http://localhost:8085/api/v1/adverts/categories,3,0,0
